distance_band,airport_id,airport_ident,gps_code,local_code,airport_name,airport_type,airport_county_fips,airport_county_name,month,mean_lead,n_obs,n_monitors,is_reid_hillview,air_temp,wind_speed,rhum,pres,wind_dir_sin,wind_dir_cos
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2022-12-01,0.006,6,1,FALSE,-10.166670227050759,6.268512583175853,85.83333333333333,97.84958333333333,-0.2593210735490103,-0.17115924134305077
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-01-01,0.0032,5,1,FALSE,-7.540014648437477,4.546351850513042,91.05,97.7085,-0.19177440778685606,0.4512168303239189
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-02-01,0.0022500000000000003,4,1,FALSE,-6.950010681152321,6.360724270766134,81.375,97.4875,-0.14177334956356302,0.22125085670329753
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-03-01,0.006666666666666667,6,1,FALSE,-1.9333455403645605,4.849297899756625,85.5,97.32875,-0.30497342143012707,0.48542742302745473
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-04-01,0.0134,5,1,FALSE,3.6749877929687726,8.217069616025004,77.3,97.076,-0.7641255601873386,-0.1259052292589148
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-05-01,0.0042,5,1,FALSE,17.474987792968772,5.343093839604195,80.25,97.3475,-0.8311170375417777,-0.29153360201117345
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-06-01,0.004,5,1,FALSE,20.269995117187523,5.846688939834549,76.9,97.325,-0.486044649825687,-0.20202234700998803
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-07-01,0.0022500000000000003,4,1,FALSE,19.15625915527346,2.5760289773271676,76.5,97.20875,-0.3076009731561806,0.8131123552275821
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-08-01,0.002,1,1,FALSE,20.250024414062523,4.069704750656685,63.75,97.4675,0.44229178340114295,-0.8968712161374321
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-09-01,0.0035,4,1,FALSE,21.637490844726585,6.497664360736202,66.1875,97.510625,-0.013475121268803042,-0.8270896216742998
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-10-01,8e-4,5,1,FALSE,11.274981689453147,4.411477225185746,79,97.2325,-0.25988164993228896,0.4026683981403729
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-11-01,0.0062,5,1,FALSE,1.3349914550781476,7.335196783472095,81.3,97.5195,-0.6454426614537768,-0.43102234323052113
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2023-12-01,0.012,5,1,FALSE,1.0649780273437728,4.610821272294022,83.5,97.361,-0.3669452137287359,-0.396868758075294
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2024-01-01,0.0075,6,1,FALSE,-7.929179890950498,4.97093474594529,93.41666666666667,97.47791666666666,-0.42046902301582,0.02400860657171418
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2024-02-01,0.00375,4,1,FALSE,-2.5687469482421648,5.658197234549573,74.25,97.200625,-0.516497216584194,-0.13899868542049065
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2024-03-01,0.007333333333333334,6,1,FALSE,2.7541595458984602,5.626553783564529,78.54166666666667,96.95458333333333,-0.24753017399351515,0.009412690410299997
0-1 km,19281,KANE,KANE,ANE,Anoka County-Blaine (Janes Field) Airport,small_airport,27003,Anoka,2024-04-01,0.0022,5,1,FALSE,7.090008544921898,3.3940507733941514,82.1,97.411,-0.5675761285696561,0.09386753917440012
